LA Code,households,fuel_poor,proportion
E07000093,50823,3693,7.266395136060446
E07000094,49983,4072,8.146769901766602
E07000095,39849,3233,8.113127054631233
E07000096,63444,5348,8.429481117205723
E07000097,59916,4665,7.78590026036451
E07000098,42125,3786,8.98753709198813
E07000099,56592,4979,8.798063330506078
E07000100,59390,4923,8.289274288600774
E07000101,36957,2959,8.006602267500067
E07000102,37215,3283,8.821711675399705
E07000103,38751,3954,10.203607648834868
E07000104,46281,4584,9.904712517015621
E07000105,51007,4294,8.418452369282647
E07000106,64810,6876,10.609473846628607
E07000107,42779,3285,7.679001379181375
E07000108,51373,5164,10.051972826192747
E07000109,43138,4349,10.081598590569799
E07000110,67660,5750,8.498374224061484
E07000111,50144,4101,8.178446075303127
E07000112,50391,5330,10.57728562640154
E07000113,59278,5800,9.784405681703161
E07000114,63384,7802,12.309100088350371
E07000115,51340,4069,7.92559407869108
E07000116,50220,4529,9.01831939466348
E07000117,39320,6458,16.42421159715158
E07000118,47038,4617,9.815468344742548
E07000119,36470,3710,10.17274472168906
E07000120,35956,5552,15.44109467126488
E07000121,60597,8234,13.588131425648134
E07000122,39113,6774,17.31904993224759
E07000123,60233,9079,15.073132668138728
E07000124,25229,2562,10.15498037972175
E07000125,30384,3684,12.12480252764613
E07000126,48289,4608,9.542545921431381
E07000127,47513,5061,10.651821606718162
E07000128,49522,5391,10.886070837203667
E07000129,40617,2854,7.026614471772903
E07000130,69956,6146,8.78552232832066
E07000131,36677,2517,6.862611445865256
E07000132,47679,3622,7.596635835483127
E07000133,22570,1874,8.303057155516171
E07000134,41082,3231,7.864758288301446
E07000135,22492,1855,8.247376845100481
E07000136,28596,2832,9.90348300461603
E07000137,64082,6488,10.1245279485659
E07000138,41847,4451,10.636365808779601
E07000139,48180,3539,7.345371523453716
E07000140,39098,3012,7.703718860299759
E07000141,60206,4929,8.186891671926386
E07000142,40329,3746,9.288601254680255
E07000143,57840,5795,10.019017980636239
E07000144,56516,4998,8.843513341354662
E07000145,44601,5906,13.241855563776598
E07000146,66673,7150,10.72398122178393
E07000147,48899,5666,11.587149021452381
E07000148,63805,8226,12.892406551210719
E07000149,56008,5237,9.350449935723468
E07000150,26538,2162,8.146808350290149
E07000151,33267,2457,7.38569753810082
E07000152,37422,2934,7.84030784030784
E07000153,41630,3526,8.469853471054527
E07000154,93191,7916,8.494382504748312
E07000155,36565,2488,6.804321072063449
E07000156,33694,2908,8.630616727013711
E07000163,25428,2394,9.414818310523831
E07000164,39483,3287,8.32510194260821
E07000165,69492,5703,8.206700051804525
E07000166,20952,1890,9.02061855670103
E07000167,23376,2334,9.984599589322382
E07000168,51108,5907,11.557877436017845
E07000169,35731,2530,7.080686238840222
