"","Table 2: Fuel Poverty by Local Authority1, 2017","...2","...3","...4","...5","...6"
"292","E08000033","Calderdale","Yorkshire and The Humber","91535","9825","10.7"
"293","E08000034","Kirklees","Yorkshire and The Humber","179245","20389","11.4"
"294","E08000035","Leeds","Yorkshire and The Humber","331714","36926","11.1"
"295","E08000036","Wakefield","Yorkshire and The Humber","145146","13830","9.5"
"296","E09000001","City of London","London","4516","191","4.2"
"297","E09000002","Barking and Dagenham","London","72014","9495","13.2"
"298","E09000003","Barnet","London","140284","17346","12.4"
"299","E09000004","Bexley","London","95673","9414","9.8000000000000007"
"300","E09000005","Brent","London","113789","16929","14.9"
"301","E09000006","Bromley","London","135155","12303","9.1"
"302","E09000007","Camden","London","100707","11739","11.7"
"303","E09000008","Croydon","London","149787","17197","11.5"
"304","E09000009","Ealing","London","128111","17439","13.6"
"305","E09000010","Enfield","London","123718","15644","12.6"
"306","E09000011","Greenwich","London","104464","11796","11.3"
"307","E09000012","Hackney","London","104854","12479","11.9"
"308","E09000013","Hammersmith and Fulham","London","83242","9749","11.7"
"309","E09000014","Haringey","London","105113","15189","14.5"
"310","E09000015","Harrow","London","86975","11816","13.6"
"311","E09000016","Havering","London","100381","9975","9.9"
"312","E09000017","Hillingdon","London","103541","11878","11.5"
"313","E09000018","Hounslow","London","97913","12386","12.7"
"314","E09000019","Islington","London","96496","10055","10.4"
"315","E09000020","Kensington and Chelsea","London","81194","9473","11.7"
"316","E09000021","Kingston upon Thames","London","65753","7192","10.9"
"317","E09000022","Lambeth","London","134086","13864","10.3"
"318","E09000023","Lewisham","London","119840","13090","10.9"
"319","E09000024","Merton","London","81471","9012","11.1"
"320","E09000025","Newham","London","104919","20060","19.100000000000001"
"321","E09000026","Redbridge","London","102386","14062","13.7"
"322","E09000027","Richmond upon Thames","London","82413","7706","9.4"
"323","E09000028","Southwark","London","124192","11349","9.1"
"324","E09000029","Sutton","London","80770","7319","9.1"
"325","E09000030","Tower Hamlets","London","104400","11661","11.2"
"326","E09000031","Waltham Forest","London","99954","14562","14.6"
"327","E09000032","Wandsworth","London","134622","13157","9.8000000000000007"
"328","E09000033","Westminster","London","109088","12397","11.4"
"329",NA,NA,NA,NA,NA,"England"
"330",NA,NA,NA,NA,NA,NA
"331","1 The geographies are based on pre-2012 geography codes. More information on geography code changes can be found at the ONS website:",NA,NA,NA,NA,NA
"332","https://www.ons.gov.uk/methodology/geography/ukgeographies",NA,NA,NA,NA,NA
