"Area.Codes","households","fuel_poor","proportion"
"E07000209",57115,7580,13.2714698415478
"E07000210",37813,4481,11.8504218126041
"E07000211",58578,6742,11.5094404042473
"E07000212",34597,4107,11.8709714715149
"E07000213",41759,4592,10.9964319068943
"E07000214",35459,3976,11.2129501677994
"E07000215",35272,4059,11.5077114992062
"E07000216",52076,6300,12.0977033566326
"E07000217",41692,4871,11.6832965556941
"E07000218",26985,4414,16.3572355012044
"E07000219",54938,9591,17.4578615894281
"E07000220",43666,7101,16.2620803371044
"E07000221",54193,8290,15.2971786024025
"E07000222",61220,9633,15.735053903953
"E07000223",28480,3539,12.4262640449438
"E07000224",70455,9053,12.8493364558938
"E07000225",52606,7113,13.5212713378702
"E07000226",45144,5084,11.2617402091086
"E07000227",57911,6386,11.0272659771028
"E07000228",60523,6922,11.4369743733787
"E07000229",49584,6738,13.5890609874153
"E07000234",39918,5808,14.5498271456486
"E07000235",33586,6196,18.4481629250283
"E07000236",36162,5577,15.4222664675626
"E07000237",43843,8100,18.4750131149784
"E07000238",51667,8061,15.6018348268721
"E07000239",44818,8151,18.1868891963051
"E07000240",58915,6709,11.3875922939829
"E07000241",45869,6183,13.4796921668229
"E07000242",59402,6599,11.10905356722
"E07000243",36634,4120,11.2463831413441
"E07000244",109920,17311,15.7487263464338
"E07000245",74762,10030,13.4159064765523
"E07000246",66011,9746,14.7642059656724
"E08000001",120463,22761,18.8945983413994
"E08000002",80909,13657,16.8794571679294
"E08000003",212018,50131,23.6446905451424
"E08000004",93018,16025,17.2278483734331
"E08000005",90686,16981,18.7250512758309
"E08000006",107250,19330,18.02331002331
"E08000007",126434,19843,15.6943543667052
"E08000008",98354,16881,17.1635113976046
"E08000009",97852,15838,16.1856681519029
"E08000010",141182,25113,17.7876783159326
"E08000011",63602,13596,21.3766862677274
"E08000012",213828,53090,24.8283667246572
"E08000013",78494,14594,18.5925038856473
"E08000014",122239,22661,18.538273382472
"E08000015",145531,27794,19.0983364369103
"E08000016",103117,18323,17.7691360299466
"E08000017",129532,22954,17.7207176605009
"E08000018",110954,18422,16.6032770337257
"E08000019",235591,41841,17.7600162994342
"E08000021",119701,25211,21.0616452661214
"E08000022",93254,15285,16.3907178244365
"E08000023",68659,13213,19.2443816542624
"E08000024",122382,27258,22.2728832671471
"E08000025",428430,105224,24.5603715892911
"E08000026",134179,29899,22.2829205762452
"E08000027",135408,26254,19.3888101146166
"E08000028",126712,31222,24.6401287960099
"E08000029",89704,12871,14.3483010791046
"E08000030",112372,23585,20.9883244936461
"E08000031",106509,23560,22.1201964153264
"E08000032",204049,42479,20.8180388044048
"E08000033",90702,16194,17.854071575048
"E08000034",177610,33888,19.0800067563763
