"Area.Codes","households","fuel_poor","proportion"
"E07000192",41054,6153,14.9875773371657
"E07000193",47708,9707,20.3466923786367
"E07000194",41642,6496,15.5996349839105
"E07000195",53129,9875,18.5868358147151
"E07000196",44916,6848,15.2462374209636
"E07000197",56245,10250,18.2238421192995
"E07000198",42167,8024,19.0290985842009
"E07000199",31957,4896,15.3205870388334
"E07000200",38591,6575,17.0376512658392
"E07000202",58807,9233,15.7005118438281
"E07000203",41379,7470,18.0526353947655
"E07000207",54669,6546,11.9738791636942
"E07000208",30783,3754,12.1950427183835
"E07000209",55842,7329,13.1245299237133
"E07000210",37019,4630,12.5070909532943
"E07000211",57305,6813,11.889014920164
"E07000212",33836,4214,12.4541908026954
"E07000213",40858,4736,11.5913652161143
"E07000214",34689,3805,10.9688950387731
"E07000215",34482,3988,11.5654544399977
"E07000216",50941,6549,12.8560491549047
"E07000217",40798,4437,10.8755331143684
"E07000218",26075,4448,17.058485139022
"E07000219",53229,8585,16.1284262338199
"E07000220",42291,7248,17.1383982407604
"E07000221",52467,10487,19.987801856405
"E07000222",59254,10608,17.9025888547609
"E07000223",27860,3115,11.1809045226131
"E07000224",68925,8154,11.8302502720348
"E07000225",51492,8031,15.5965975297134
"E07000226",44152,4935,11.177296611705
"E07000227",56716,7144,12.5960928133155
"E07000228",59259,7413,12.5094922290285
"E07000229",48565,6473,13.3285287758674
"E07000234",38675,5787,14.9631544925663
"E07000235",32521,7560,23.2465176347591
"E07000236",35068,5191,14.8026691000342
"E07000237",42455,7466,17.5856789541868
"E07000238",49981,9189,18.384986294792
"E07000239",43420,7970,18.3555964993091
"E07000240",57634,6874,11.9269875420759
"E07000241",44839,5952,13.2741586565267
"E07000242",58103,7229,12.4416983632515
"E07000243",35836,4174,11.647505301931
"E07000244",107412,17236,16.0466242133095
"E07000245",73088,11248,15.3896672504378
"E07000246",65908,13147,19.947502579353
"E08000001",118303,20546,17.3672687928455
"E08000002",79442,13660,17.1949346693185
"E08000003",208335,49866,23.9354885160919
"E08000004",91288,16051,17.5828148277977
"E08000005",89035,16723,18.782501263548
"E08000006",105326,18699,17.7534511896398
"E08000007",124087,20105,16.2023419052761
"E08000008",96582,16226,16.8002319272742
"E08000009",96098,16497,17.1668505067743
"E08000010",138692,22688,16.3585498803103
"E08000011",62411,11050,17.7052122222044
"E08000012",209969,49457,23.554429463397
"E08000013",77066,13080,16.9724651597332
"E08000014",119978,22242,18.5383987064295
"E08000015",142933,25687,17.9713572093219
"E08000016",101973,18983,18.6157120021967
"E08000017",128081,24478,19.1113436028763
"E08000018",109679,18993,17.3168974917714
"E08000019",232940,47499,20.3910878337769
"E08000021",118427,26062,22.0068058804158
"E08000022",92265,15111,16.3778247439441
"E08000023",67929,13174,19.3937787984513
"E08000024",121097,25385,20.9625341668249
"E08000025",414908,96817,23.3345705554002
"E08000026",129899,27756,21.3673700336415
"E08000027",131168,22478,17.1368016589412
"E08000028",122703,26014,21.200785636863
"E08000029",86902,13063,15.031874985616
"E08000030",108869,21080,19.362720333612
"E08000031",103181,22371,21.6813172967891
"E08000032",201806,43925,21.7659534404329
"E08000033",89718,18124,20.2010744778082
"E08000034",175686,33596,19.1227530935874
"E08000035",324810,63711,19.6148517594902
"E08000036",142186,24037,16.9053211989929
"E08000037",90158,16678,18.4986357283879
"E09000001",4404,414,9.40054495912807
"E09000002",70017,12283,17.5428824428353
"E09000003",136601,22706,16.6221330736964
"E09000004",93063,13118,14.095827557676
"E09000005",110806,21320,19.2408353338267
"E09000006",131478,18414,14.0053849313193
"E09000007",98017,21259,21.6890947488701
"E09000008",145715,23240,15.9489414267577
"E09000009",124653,23123,18.5498945071519
"E09000010",120482,21099,17.5121594927043
"E09000011",101557,16518,16.2647577222643
"E09000012",102161,17767,17.3911766721156
"E09000013",80985,18114,22.367105019448
"E09000014",102452,22522,21.982977394292
"E09000015",84666,14332,16.9276923440342
"E09000016",97652,13504,13.8286978249293
"E09000017",100698,15183,15.0777572543645
"E09000018",95342,15696,16.4628390426045
"E09000019",93991,17226,18.3272866551053
"E09000020",78943,18602,23.5638371989917
"E09000021",63940,10596,16.5717860494213
"E09000022",130632,23384,17.900667524037
"E09000023",116620,20265,17.3769507803121
"E09000024",79167,13834,17.4744527391464
"E09000025",102046,22976,22.51533622092
"E09000026",99593,17488,17.5594670308154
"E09000027",80220,12537,15.6282722513089
"E09000028",120989,17792,14.7054690922315
"E09000029",78586,10563,13.4413254269208
"E09000030",101733,13546,13.3152467734167
"E09000031",97328,19482,20.0168502383692
"E09000032",131086,23093,17.6166791266802
"E09000033",106259,22559,21.2302016770344
