Area Codes,households,fuel_poor,proportion
E07000032,57262,8107,14.157731130592714
E07000033,35879,5680,15.830987485715879
E07000034,48932,7199,14.712253739883922
E07000035,32900,5218,15.860182370820668
E07000036,51278,6869,13.395608253051991
E07000037,41510,5719,13.777403035413153
E07000038,46807,6141,13.119832503685346
E07000039,46051,5303,11.51549369177651
E07000040,69139,8375,12.113279046558382
E07000041,54538,6343,11.630422824452676
E07000042,36919,5043,13.659633251171483
E07000043,44729,6420,14.353104250039125
E07000044,40732,5400,13.257389767259156
E07000045,61963,7492,12.091086616206445
E07000046,31527,4595,14.574808893963903
E07000047,25675,3686,14.356377799415773
E07000061,46608,4710,10.105561277033985
E07000062,41269,5736,13.899052557609828
E07000063,44579,4026,9.03115816864443
E07000064,42955,4803,11.181468979164242
E07000065,69605,6345,9.115724445082968
E07000066,77210,7586,9.825152182359798
E07000067,65673,7974,12.141976154584077
E07000068,32700,3276,10.01834862385321
E07000069,37815,3966,10.487901626338754
E07000070,76246,7021,9.208351913543005
E07000071,80651,9282,11.508846759494611
E07000072,55172,6046,10.958457188428913
E07000073,38289,4031,10.52782783567082
E07000074,28197,3507,12.437493350356421
E07000075,35950,3361,9.349095966620306
E07000076,68207,11630,17.05103581743809
E07000077,37337,4395,11.771165331976324
E07000078,54859,5695,10.381158971180664
E07000079,42111,5303,12.592909216119303
E07000080,38537,5491,14.24864416015777
E07000081,57445,6023,10.48481155888241
E07000082,54209,6196,11.429836374033831
E07000083,42457,3628,8.545116235249782
E07000084,78246,4895,6.255910845282826
E07000085,53770,3888,7.230797842663195
E07000086,58069,3447,5.936041605676006
E07000087,49602,2998,6.04411112455143
E07000088,36673,3008,8.202219616611677
E07000089,40782,2332,5.71820901378059
E07000090,54655,4203,7.690055804592443
E07000091,79161,6383,8.063314005634087
E07000092,40160,2676,6.663346613545816
E07000093,55851,4053,7.256808293495193
E07000094,52739,4278,8.11164413432185
E07000095,40288,3816,9.471803018268467
E07000096,64122,6598,10.28976014472412
E07000098,43155,4565,10.578148534352914
E07000099,57362,6193,10.79634601303999
E07000102,37265,3895,10.452166912652624
E07000103,40053,5080,12.683194766933811
E07000105,54648,4708,8.61513687600644
E07000106,65105,6726,10.331003763151832
E07000107,46670,3560,7.628026569530748
E07000108,51574,5939,11.515492302322876
E07000109,42605,4344,10.195986386574345
E07000110,72586,5855,8.066293775659219
E07000111,49990,4180,8.361672334466894
E07000112,49297,5645,11.451001075116132
E07000113,61718,6042,9.78968858355747
E07000114,63434,8413,13.262603651038877
E07000115,54661,4017,7.348932511296903
E07000116,49214,4664,9.476978095663835
E07000117,40699,7972,19.587704857613208
E07000118,51172,5690,11.119362151176425
E07000119,38383,4799,12.502930985071517
E07000120,35539,6614,18.610540532935648
E07000121,61310,9446,15.406948295547219
E07000122,38885,7704,19.81226694097981
E07000123,60897,9345,15.345583526282084
E07000124,27312,3648,13.356766256590511
E07000125,31194,4797,15.377957299480668
E07000126,49653,4969,10.007451714901416
E07000127,49532,6492,13.106678510861666
E07000128,51847,6996,13.49354832487897
E07000129,43339,3998,9.224947506864487
E07000130,75165,8489,11.293820262090067
E07000131,41157,4269,10.372476127997668
E07000132,50312,5350,10.633646048656384
E07000133,22994,2924,12.716360789771244
E07000134,45762,5694,12.442637996591058
E07000135,23066,2360,10.231509581201768
E07000136,29917,4340,14.506802152622257
E07000137,65996,10744,16.279774531789805
E07000138,43256,6783,15.681061586831884
E07000139,51871,5924,11.420639663781303
E07000140,41425,5371,12.965600482800241
E07000141,63969,7724,12.074598633713205
E07000142,43128,6228,14.440734557595993
E07000143,61003,8584,14.071439109551989
E07000144,58393,6833,11.70174507218331
E07000145,45058,7981,17.712725820054153
