"","Area.Codes","households","fuel_poor","proportion"
"217","E07000214",36270,1841,5.07582023711056
"218","E07000215",36060,2116,5.86799778147532
"219","E07000216",53257,3305,6.2057569896915
"220","E07000217",42649,2543,5.96262514947596
"221","E07000218",27687,4492,16.2242207534222
"222","E07000219",56332,9042,16.051267485621
"223","E07000220",44782,6559,14.6465097583851
"224","E07000221",55635,7559,13.5867709175878
"225","E07000222",62776,8173,13.0193067414298
"226","E07000223",29120,2264,7.77472527472527
"227","E07000224",72015,5165,7.17211692008609
"228","E07000225",53740,4053,7.54186825455899
"229","E07000226",46153,3441,7.45563668667259
"230","E07000227",59157,3538,5.98069543756445
"231","E07000228",61810,3572,5.77900016178612
"232","E07000229",50663,4152,8.19532992519195
"233","E07000234",40943,4780,11.6747673594998
"234","E07000235",34464,5208,15.1114206128134
"235","E07000236",37065,5406,14.5851881829219
"236","E07000237",44956,6939,15.4350920900436
"237","E07000238",53017,7459,14.0690721843937
"238","E07000239",45941,7123,15.5046690320193
"239","E07000240",60507,5623,9.29313963673625
"240","E07000241",47193,5668,12.0102557582692
"241","E07000242",61040,6351,10.4046526867628
"242","E07000243",37653,4534,12.0415371949114
"243","E07000244",113142,16181,14.3014972335649
"244","E07000245",76831,10494,13.6585492834923
"245","E07000246",69164,7406,10.7078827135504
"246","E08000001",122724,18110,14.7566898080245
"247","E08000002",82464,11013,13.3549185098952
"248","E08000003",215977,42845,19.8377605022757
"249","E08000004",94858,14439,15.2216998039174
"250","E08000005",92405,14537,15.7318326930361
"251","E08000006",109335,17068,15.6107376411945
"252","E08000007",128929,15665,12.1500981160173
"253","E08000008",100257,14697,14.6593255333792
"254","E08000009",99754,12762,12.7934719409748
"255","E08000010",143839,20452,14.2186750464061
"256","E08000011",64896,10049,15.4847756410256
"257","E08000012",217880,39527,18.1416375986782
"258","E08000013",80065,11333,14.1547492662212
"259","E08000014",124658,17160,13.7656628535674
"260","E08000015",148293,20558,13.8630953585132
"261","E08000016",107135,19971,18.640967004247
"262","E08000017",134672,23941,17.7772662468813
"263","E08000018",115456,19680,17.0454545454545
"264","E08000019",245150,42801,17.4591066693861
"265","E08000021",123566,20222,16.3653432173899
"266","E08000022",96192,12423,12.9147954091816
"267","E08000023",70930,10457,14.7427040744396
"268","E08000024",126427,19290,15.2578167638242
"269","E08000025",439526,92990,21.156882641755
"270","E08000026",137650,25844,18.7751543770432
"271","E08000027",138862,23512,16.9319180193285
"272","E08000028",129918,27216,20.9485983466494
"273","E08000029",92008,11483,12.480436483784
"274","E08000030",115225,22299,19.3525710566283
"275","E08000031",109199,23072,21.1283986117089
"276","E08000032",212068,38925,18.3549616160854
"277","E08000033",94196,15729,16.6981612807338
"278","E08000034",184520,31027,16.8149794060264
"279","E08000035",341890,57492,16.8159349498377
"280","E08000036",149464,25924,17.3446448643152
"281","E08000037",94124,14183,15.0684203816242
"282","E09000001",4655,296,6.35875402792696
"283","E09000002",74494,16738,22.4689236717051
"284","E09000003",144912,19175,13.232168488462
"285","E09000004",98927,12705,12.8428032791857
"286","E09000005",117505,20322,17.2945832092251
"287","E09000006",139712,16610,11.8887425561154
"288","E09000007",104052,14279,13.7229462191981
"289","E09000008",154868,25443,16.4288297130459
"290","E09000009",132407,19643,14.8353183744062
"291","E09000010",127782,20946,16.3919800910926
"292","E09000011",108057,18004,16.6615767604135
"293","E09000012",108209,17821,16.469055254184
"294","E09000013",86023,12183,14.1624914267115
"295","E09000014",108473,19798,18.2515464677846
"296","E09000015",89874,13014,14.4802723813339
"297","E09000016",103763,13655,13.1597968447327
"298","E09000017",107046,14805,13.8305027745082
"299","E09000018",101106,15527,15.3571499218642
"300","E09000019",99623,14703,14.7586400730755
"301","E09000020",84022,10809,12.8644878722239
"302","E09000021",67990,8424,12.3900573613767
"303","E09000022",138398,21844,15.7834650789751
"304","E09000023",123821,22576,18.2327715007955
"305","E09000024",84337,12397,14.6993608973523
"306","E09000025",108572,23569,21.7081752201304
"307","E09000026",105841,16336,15.4344724634121
"308","E09000027",85182,9034,10.60552698927
"309","E09000028",128171,18765,14.6405973270085
"310","E09000029",83529,10739,12.8566126734428
"311","E09000030",107761,15290,14.1888067111478
"312","E09000031",103229,21742,21.0619108971316
"313","E09000032",139052,18288,13.1519143917383
