LA Code,households,fuel_poor,proportion
E07000142,39163,3880,9.90731047161862
E07000143,55990,4777,8.53188069298089
E07000144,54757,3876,7.078547035082272
E07000145,43215,4873,11.276177253268541
E07000146,64629,5711,8.83659038512123
E07000147,47308,4923,10.406273780333136
E07000148,61854,7124,11.517444304329551
E07000149,54227,4416,8.143544728640714
E07000163,25114,2683,10.68328422393884
E07000164,38967,3333,8.553391331126338
E07000165,68622,5904,8.603654804581621
E07000166,20668,1988,9.61873427520805
E07000167,23046,2440,10.587520610952009
E07000168,50493,5923,11.730338858851722
E07000169,35306,2428,6.877018070582904
E07000170,51925,4948,9.529128550794415
E07000171,48626,4716,9.698515197630897
E07000172,47791,4651,9.731957900023017
E07000173,50366,4567,9.067624985109003
E07000174,45824,4395,9.591043994413408
E07000175,49768,4750,9.544285484648771
E07000176,46778,4093,8.749839668220103
E07000177,58412,4219,7.2228309251523655
E07000178,57017,6804,11.933283055930687
E07000179,55710,4108,7.3739005564530595
E07000180,50873,3599,7.074479586421088
E07000181,44559,3069,6.887497475257525
E07000187,48566,5428,11.176543260717374
E07000188,51328,5658,11.02322319201995
E07000189,73167,8216,11.229106017740238
E07000192,40807,4142,10.150219325115788
E07000193,47418,6612,13.944071871441224
E07000194,41387,4061,9.812259888370745
E07000195,52768,6411,12.14940873256519
E07000196,44642,4440,9.945790959186416
E07000197,55924,6262,11.197339246119734
E07000198,41946,5062,12.067896819720593
E07000199,31744,3196,10.06804435483871
E07000200,38544,3443,8.932648401826485
E07000202,58737,6773,11.531062192485146
E07000203,41339,3591,8.68671230557101
E07000207,54452,3821,7.017189451259825
E07000208,30658,2415,7.877226172613999
E07000209,55627,4356,7.830729681629424
E07000210,36865,2700,7.3240200732402005
E07000211,57058,3996,7.003400049072874
E07000212,33693,2576,7.645505001038791
E07000213,40678,2868,7.050494124588229
E07000214,34555,2285,6.6126465055708294
E07000215,34345,2395,6.973358567477071
E07000216,50750,3761,7.410837438423645
E07000217,40624,2785,6.855553367467507
E07000218,25922,2786,10.74762749787825
E07000219,52927,5900,11.14742947833809
E07000220,42036,4574,10.88114949091255
E07000221,52143,5497,10.542162898183841
E07000222,58918,6514,11.056043993346686
E07000223,27753,2016,7.264079558966598
E07000224,68637,5118,7.456619607500328
E07000225,51275,4235,8.259385665529011
E07000226,43988,2966,6.742748022187869
E07000227,56489,3842,6.801324151604737
E07000228,59032,4090,6.928445588833175
E07000229,48377,4016,8.30146557248279
E07000234,38448,3774,9.815855181023721
E07000235,32340,4086,12.634508348794062
E07000236,34854,3390,9.72628679635049
E07000237,42226,5112,12.10628522711126
E07000238,49685,5280,10.626949783636913
E07000239,43146,5273,12.221295137440318
E07000240,57587,4533,7.871568235886571
E07000241,44803,3865,8.626654465102783
E07000242,58061,4229,7.2837188474190935
E07000243,35804,2626,7.33437604736901
E07000244,107335,10876,10.132761913634882
E07000245,73031,5963,8.16502581095699
E07000246,65933,7428,11.265982133377824
E08000001,118791,13111,11.0370314249396
E08000002,79749,8047,10.090408657161845
E08000003,209159,31195,14.914490889705917
E08000004,91643,9806,10.700217146972491
E08000005,89398,10104,11.302266269938926
E08000006,105758,10497,9.925490270239603
E08000007,124601,11442,9.182911854640011
E08000008,96976,9507,9.803456525325855
E08000009,96468,9666,10.019902973006593
E08000010,139218,12709,9.128848281113076
E08000011,62684,6506,10.379044094186714
E08000012,210818,30567,14.499236308095135
E08000013,77386,7508,9.702013284056548
E08000014,120486,13111,10.88176219643776
E08000015,143503,15176,10.575388667832728
E08000016,102811,9421,9.16341636595306
E08000017,129161,12676,9.814107973769172
E08000018,110613,9984,9.02606384421361
E08000019,234893,25509,10.859838309357878
E08000021,118362,15344,12.963620080769168
E08000022,92240,9088,9.852558542931483
E08000023,67896,7642,11.255449511016849
E08000024,121046,15021,12.409331989491598
E08000025,412401,78086,18.9344836700202
E08000026,129082,20579,15.94257913574317
E08000027,130394,16648,12.767458625396873
E08000028,121966,20031,16.423429480346982
E08000029,86375,8733,10.11056439942113
E08000030,108226,15427,14.254430543492322
E08000031,102569,16722,16.30317152355975
E08000032,203464,28724,14.117485157079384
E08000033,90444,10566,11.682366989518377
E08000034,177100,20935,11.821005081874647
E08000035,327513,38133,11.643201949235603
E08000036,143367,12373,8.630298464779203
E08000037,90089,9855,10.939182364106607
E09000001,4460,173,3.8789237668161434
E09000002,71101,7877,11.078606489360206
E09000003,138553,13479,9.728407179923929
E09000004,94450,7735,8.189518263631552
E09000005,112395,13477,11.990746919346947
E09000006,133450,10088,7.559385537654552
E09000007,99440,9812,9.867256637168142
E09000008,147895,14628,9.89080090604821
E09000009,126503,13954,11.030568445017114
E09000010,122209,12927,10.57778068718343
E09000011,103078,9502,9.218261898756282
E09000012,103592,9788,9.448606069966793
E09000013,82180,8500,10.343149184716475
E09000014,103875,12399,11.936462093862815
E09000015,85884,9668,11.257044385450142
E09000016,99099,7383,7.4501256319438145
E09000017,102216,9456,9.250997886827895
E09000018,96723,9756,10.086535777426258
E09000019,95332,8160,8.559560273570261
E09000020,80149,8565,10.686346679309786
E09000021,64928,6075,9.35651798915722
E09000022,132476,12215,9.220538059724026
E09000023,118339,11840,10.005154682733503
E09000024,80400,7962,9.902985074626866
E09000025,103574,15403,14.871492845694863
E09000026,101097,11615,11.488966042513624
E09000027,81410,6284,7.718953445522662
E09000028,122686,9872,8.04655787946465
E09000029,79724,6144,7.706587727660429
E09000030,103176,7813,7.572497480034117
E09000031,98708,11928,12.084126919803866
E09000032,132997,10981,8.256577216027429
E09000033,107747,10655,9.888906419668297
